Date,Open,High,Low,Close,Adj Close,Volume
2018-11-07,7.165948,7.209052,7.112069,7.187500,4.866137,612016
2018-11-08,7.219828,7.295259,7.198276,7.219828,4.888024,522557
2018-11-09,7.176724,7.219828,7.133621,7.176724,4.858842,384656
2018-11-12,6.982759,6.993534,6.864224,6.875000,4.654565,512442
2018-11-13,6.993534,7.155172,6.982759,7.047414,4.771295,2270259
2018-11-14,7.133621,7.133621,6.993534,7.015086,4.749408,4442893
2018-11-15,6.260776,6.411638,6.250000,6.390086,4.326266,4136931
2018-11-16,6.131466,6.206897,6.088362,6.099138,4.129285,3736128
2018-11-19,6.120690,6.153017,6.056034,6.099138,4.129285,2066934
2018-11-20,5.926724,5.969828,5.851293,5.862069,3.968783,3774362
2018-11-21,6.034483,6.077586,5.959052,5.980603,4.049035,1727379
2018-11-23,6.153017,6.196121,6.120690,6.131466,4.151173,634752
2018-11-26,6.314655,6.346983,6.271552,6.314655,4.275196,874083
2018-11-27,6.153017,6.217672,6.109914,6.185345,4.187650,1431533
2018-11-28,6.185345,6.250000,6.099138,6.228448,4.216833,1340218
2018-11-29,6.163793,6.217672,6.153017,6.174569,4.180354,655446
2018-11-30,6.066810,6.088362,6.023707,6.045259,4.092808,501584
2018-12-03,6.153017,6.185345,6.131466,6.153017,4.165763,802349
2018-12-04,6.088362,6.099138,5.840517,5.862069,3.968783,1157123
2018-12-06,5.926724,5.959052,5.797414,5.937500,4.019852,1848762
2018-12-07,5.937500,5.980603,5.743534,5.797414,3.925009,868330
2018-12-10,5.711207,5.721983,5.506466,5.517241,3.735325,2734723
2018-12-11,5.625000,5.635776,5.366379,5.398707,3.655075,2710595
2018-12-12,5.732759,5.797414,5.678879,5.700431,3.859349,1445917
2018-12-13,5.808190,5.829741,5.689655,5.732759,3.881237,1054765
2018-12-14,5.711207,5.786638,5.711207,5.732759,3.881237,936538
2018-12-17,5.754310,5.754310,5.603448,5.614224,3.800985,1576950
2018-12-18,5.797414,5.818966,5.625000,5.678879,3.844758,1648314
2018-12-19,5.732759,5.797414,5.571121,5.635776,3.815576,1285744
2018-12-20,5.721983,5.732759,5.603448,5.668103,3.837463,1353674
2018-12-21,5.646552,5.721983,5.560345,5.581897,3.779099,751402
2018-12-24,5.603448,5.657328,5.549569,5.581897,3.779099,508822
2018-12-26,5.560345,5.668103,5.431034,5.668103,3.837463,783139
2018-12-27,5.678879,5.711207,5.571121,5.700431,3.859349,2627261
2018-12-28,5.829741,5.915948,5.818966,5.862069,3.968783,1087338
2018-12-31,5.915948,6.023707,5.872845,6.023707,4.078216,1411395
2019-01-02,5.808190,5.948276,5.797414,5.937500,4.019852,1166589
2019-01-03,5.894397,5.894397,5.786638,5.829741,3.946897,846707
2019-01-04,6.002155,6.153017,5.991379,6.120690,4.143877,705651
2019-01-07,6.174569,6.260776,6.153017,6.206897,4.202241,716323
2019-01-08,6.228448,6.282328,6.206897,6.271552,4.246015,756042
2019-01-09,6.120690,6.239224,6.109914,6.196121,4.194945,3810461
